Year,ANDAMAN AND NICOBAR ISLANDS,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,CHANDIGARH,CHHATTISGARH,DELHI,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU AND KASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYA PRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUDUCHERRY,PUNJAB,RAJASTHAN,SIKKIM,TAMIL NADU,TELANGANA,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL
1960-1961,,8373,,,6813,,,33193,,15149,,,25248,,18487,20504,11862,18426,13009,,,,,,,16070,,18551,,8705,12593,,15032
1961-1962,,8864,,,7035,,,34037,,16278,,,25154,,19361,20266,11325,17975,12334,,,,,,,17484,,18051,,9582,12565,,14569
1962-1963,,8674,,,7035,,,33540,,15734,,,25060,,19986,20583,10742,18065,11996,,,,,,,16523,,18163,,9301,12148,,14647
1963-1964,,8974,,,7035,,,33292,,16362,,,25248,,20360,20504,11489,18336,12672,,,,,,,14995,,18107,,8670,11648,,15610
1964-1965,,9400,,,6940,,,34832,,17325,,,26374,,19923,20899,11862,18471,12925,,,,,,,16805,,18385,,8705,13177,,15996
1965-1966,,8326,,,7003,,,34236,,15693,16754,,21775,,18175,20662,9200,17390,13516,,,,,,19097,14825,,17607,,8880,12510,,15302
1966-1967,,8516,,,5958,,,34186,,15693,18014,,24872,,20173,21216,9084,17885,16473,,,,,,20110,15221,,17829,,8810,11064,,14762
1967-1968,,8895,,,6401,,,34683,,16739,20955,20457,25999,,19736,22166,11722,18381,15713,,,,,,22183,17881,,18274,,8599,12232,,14801
1968-1969,,8247,,,6496,,,35280,,15190,18592,21571,25905,,21047,22641,10485,19056,17318,,,,,,22955,14089,,18274,,8389,11954,,14839
1969-1970,,8437,,,6528,,,36075,,16278,22531,21551,27031,,21984,23116,10975,19147,16557,,,,,,23967,15334,,18607,,8564,12899,,15109
1970-1971,,9242,13426,20292,7035,,,38013,24472,18287,23161,22020,28533,,22546,23908,11302,19372,14614,,,,20257,20472,23919,20144,,19329,,8459,13510,,14724
1971-1972,,9353,13985,20633,7099,,,39186,26906,18353,23425,22106,28502,,22370,24672,11839,19446,14277,,,,18090,22531,24232,17112,,19928,,9099,12510,,15088
1972-1973,,8437,13749,20937,6925,,,38552,26532,14338,22342,21561,28033,,20541,24753,11068,18036,14689,,,,19573,23285,24545,16090,,19595,,7768,12982,,14380
1973-1974,,9859,13749,20823,6662,,,38330,27174,17096,21603,22692,29128,,23144,24149,11138,19768,17313,,,,20462,25596,24746,17545,,20061,,9312,12120,,14557
1974-1975,,9922,13926,20102,6855,,,38330,30704,14383,21154,21779,29492,,22511,23948,10952,21153,18512,,,,17370,23310,25037,15348,,17100,,8627,12398,,14751
1975-1976,,9874,14103,21202,7152,,,40390,32737,18044,24772,24231,29857,,23426,24552,11652,21722,19111,,,,20123,24164,26646,18225,,19895,,8819,13177,,15449
1976-1977,,8800,15339,20406,7327,,,41722,33111,18794,25723,22600,28815,,21843,23827,10508,22415,18774,,,,18429,25420,27809,18906,,20161,,9486,13260,,15621
1977-1978,,9732,17636,20863,7537,,,42863,34582,19517,26092,24783,31837,,25184,23747,11862,23726,20198,,,,21320,27228,29508,19154,,21758,,9773,14066,,16514
1978-1979,,10412,19461,20363,7554,,,43814,33165,20285,27994,24976,33765,,25536,23867,11255,24790,19036,,,,22326,30795,31028,19525,,22257,,9975,14289,,15886
1979-1980,,9969,18225,18857,7142,,,43878,34662,19850,25379,22058,32098,,25642,24632,9200,24595,18737,,,,18274,32353,30514,16245,,22223,,9942,12009,,14915
1980-1981,26534,10216,19133,22764,7430,,,45892,40533,19961,27938,23992,33345,,24169,24941,12069,23681,19242,21343,,14380,20196,33195,30266,16569,,19415,,10550,14430,,16239
1981-1982,26441,11618,21317,24839,7671,,,47408,36945,21448,28282,24970,33270,,25170,24301,12090,23736,19820,21630,,16668,19834,32767,32539,17434,,21254,,10081,14418,,15471
1982-1983,24512,11571,21372,25468,7575,,,51181,41752,20666,29315,23633,33465,,25215,24572,12343,24119,19612,21348,,18169,18317,34432,32887,17304,,19785,,10813,15182,,15746
1983-1984,27009,11796,22180,26049,8129,,,47897,41430,24109,29216,24312,33690,,26433,23262,12686,25079,20747,21237,,17906,21629,33833,32873,20685,,20503,,10184,15411,,17246
1984-1985,24829,11193,23591,25647,8701,,,47839,42316,23600,29620,22526,34492,,27816,24374,11794,24870,21049,21726,,17760,20238,34725,34786,18699,,22789,,10189,15295,,17328
1985-1986,26794,11645,25809,26766,8701,,,53125,39843,22496,34098,25081,34400,,26136,24933,12527,26305,21660,22144,,17467,22168,35364,36771,18144,,23305,,10017,15531,,17665
