Country Name,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Australia,2.05049E+11,2.10141E+11,2.12861E+11,2.2609E+11,2.41868E+11,2.56334E+11,2.62439E+11,2.78983E+11,2.93197E+11,3.13849E+11,3.3637E+11,3.49823E+11,3.63498E+11,3.73019E+11,3.88333E+11,3.93519E+11,4.03717E+11,4.18222E+11,4.21961E+11,4.39054E+11,4.52381E+11,4.67485E+11,4.83019E+11,4.72286E+11,4.93992E+11,5.19937E+11,5.40896E+11,5.54678E+11,5.86536E+11,6.09203E+11,6.30973E+11,6.2848E+11,6.3108E+11,6.56535E+11,6.82669E+11,7.08841E+11,7.36163E+11,7.64934E+11,8.00228E+11,8.39733E+11,8.72587E+11,8.90373E+11,9.26117E+11,9.54922E+11,9.95081E+11,1.02653E+12,1.05452E+12,1.09426E+12,1.1334E+12,1.15456E+12,1.17964E+12,1.20878E+12,1.25613E+12,1.28879E+12,1.32182E+12,1.35053E+12,1.38756E+12,1.41942E+12,1.46017E+12,1.49103E+12,1.49097E+12
Brazil,1.88464E+11,2.04672E+11,2.1818E+11,2.19489E+11,2.26952E+11,2.32399E+11,2.47969E+11,2.58384E+11,2.83706E+11,3.10658E+11,3.42966E+11,3.81868E+11,4.27465E+11,4.87176E+11,5.269E+11,5.54123E+11,6.10961E+11,6.41107E+11,6.7297E+11,7.1846E+11,7.84558E+11,7.51214E+11,7.57449E+11,7.35256E+11,7.7496E+11,8.35794E+11,8.98395E+11,9.30108E+11,9.2955E+11,9.58924E+11,9.17211E+11,9.26678E+11,9.21637E+11,9.67024E+11,1.02362E+12,1.06686E+12,1.09042E+12,1.12744E+12,1.13125E+12,1.13655E+12,1.18642E+12,1.20291E+12,1.23964E+12,1.25378E+12,1.326E+12,1.36846E+12,1.42268E+12,1.50903E+12,1.5859E+12,1.58391E+12,1.70315E+12,1.77084E+12,1.80486E+12,1.85909E+12,1.86846E+12,1.80221E+12,1.74317E+12,1.76623E+12,1.79774E+12,1.81968E+12,1.7491E+12
China,1.58907E+11,1.15573E+11,1.09124E+11,1.20364E+11,1.42246E+11,1.66357E+11,1.84074E+11,1.73453E+11,1.66341E+11,1.94519E+11,2.32062E+11,2.48445E+11,2.57911E+11,2.77925E+11,2.84345E+11,3.0914E+11,3.04286E+11,3.27321E+11,3.64393E+11,3.92055E+11,4.2277E+11,4.44385E+11,4.84456E+11,5.36632E+11,6.18155E+11,7.01178E+11,7.63933E+11,8.52988E+11,9.48715E+11,9.88621E+11,1.02738E+12,1.12254E+12,1.28222E+12,1.46024E+12,1.65061E+12,1.83141E+12,2.01313E+12,2.19908E+12,2.37162E+12,2.55333E+12,2.77011E+12,3.00102E+12,3.27512E+12,3.60388E+12,3.96836E+12,4.42054E+12,4.98287E+12,5.69198E+12,6.24129E+12,6.82789E+12,7.5541E+12,8.27558E+12,8.92635E+12,9.61958E+12,1.03339E+13,1.10616E+13,1.18191E+13,1.26402E+13,1.34934E+13,1.42963E+13,1.46165E+13
France,5.21063E+11,5.47013E+11,5.84447E+11,6.2088E+11,6.62182E+11,6.94374E+11,7.30841E+11,7.66807E+11,8.01246E+11,8.58211E+11,9.10636E+11,9.59052E+11,1.00232E+12,1.06591E+12,1.11176E+12,1.10108E+12,1.14906E+12,1.18886E+12,1.23616E+12,1.28005E+12,1.30025E+12,1.31415E+12,1.34708E+12,1.36379E+12,1.38444E+12,1.4069E+12,1.43979E+12,1.47667E+12,1.54671E+12,1.6139E+12,1.66109E+12,1.6785E+12,1.70535E+12,1.69463E+12,1.73459E+12,1.77113E+12,1.79616E+12,1.83812E+12,1.90409E+12,1.96923E+12,2.0465E+12,2.0871E+12,2.1108E+12,2.12817E+12,2.18839E+12,2.22479E+12,2.27928E+12,2.33455E+12,2.3405E+12,2.27325E+12,2.31757E+12,2.36838E+12,2.3758E+12,2.38949E+12,2.41234E+12,2.43919E+12,2.46591E+12,2.52241E+12,2.56946E+12,2.61681E+12,2.41126E+12
Germany,..,..,..,..,..,..,..,..,..,..,1.39878E+12,1.4426E+12,1.50464E+12,1.57653E+12,1.59056E+12,1.57677E+12,1.65481E+12,1.7102E+12,1.76165E+12,1.83477E+12,1.86061E+12,1.87046E+12,1.86308E+12,1.89237E+12,1.94579E+12,1.99109E+12,2.03663E+12,2.06519E+12,2.14175E+12,2.2252E+12,2.34214E+12,2.46178E+12,2.50912E+12,2.48461E+12,2.54404E+12,2.58333E+12,2.60414E+12,2.65081E+12,2.7042E+12,2.75523E+12,2.83548E+12,2.88316E+12,2.87745E+12,2.85731E+12,2.89088E+12,2.91203E+12,3.02317E+12,3.11315E+12,3.14304E+12,2.96408E+12,3.08797E+12,3.20918E+12,3.22261E+12,3.23671E+12,3.30823E+12,3.35759E+12,3.43246E+12,3.52446E+12,3.56273E+12,3.60034E+12,3.43582E+12
Italy,4.86317E+11,5.2623E+11,5.58876E+11,5.90227E+11,6.0674E+11,6.26568E+11,6.64067E+11,7.11738E+11,7.58318E+11,8.04561E+11,8.46951E+11,8.62349E+11,8.94174E+11,9.57891E+11,1.01058E+12,9.89454E+11,1.05996E+12,1.0871E+12,1.12232E+12,1.1892E+12,1.22999E+12,1.24037E+12,1.2455E+12,1.26007E+12,1.30072E+12,1.33711E+12,1.37535E+12,1.41925E+12,1.47878E+12,1.52889E+12,1.55925E+12,1.58324E+12,1.59644E+12,1.58283E+12,1.61688E+12,1.66355E+12,1.68463E+12,1.71546E+12,1.74652E+12,1.77491E+12,1.84213E+12,1.87808E+12,1.88284E+12,1.88545E+12,1.9123E+12,1.92794E+12,1.96246E+12,1.99164E+12,1.97248E+12,1.86832E+12,1.90033E+12,1.91377E+12,1.85672E+12,1.82254E+12,1.82245E+12,1.83664E+12,1.86039E+12,1.89142E+12,1.90893E+12,1.91848E+12,1.74533E+12
Japan,5.83595E+11,6.53881E+11,7.12135E+11,7.72478E+11,8.62679E+11,9.12884E+11,1.01E+12,1.12193E+12,1.26646E+12,1.42449E+12,1.45946E+12,1.52804E+12,1.65661E+12,1.78967E+12,1.76775E+12,1.8224E+12,1.89484E+12,1.97803E+12,2.08231E+12,2.1965E+12,2.25839E+12,2.35461E+12,2.43184E+12,2.52012E+12,2.63128E+12,2.76705E+12,2.85819E+12,2.99107E+12,3.19032E+12,3.34747E+12,3.50952E+12,3.63317E+12,3.66589E+12,3.64906E+12,3.68859E+12,3.78564E+12,3.90427E+12,3.94258E+12,3.8925E+12,3.8795E+12,3.98676E+12,4.00215E+12,4.00383E+12,4.06529E+12,4.15416E+12,4.2291E+12,4.28714E+12,4.35076E+12,4.29749E+12,4.05283E+12,4.21891E+12,4.21991E+12,4.27793E+12,4.3637E+12,4.37663E+12,4.44493E+12,4.47844E+12,4.55347E+12,4.58006E+12,4.56905E+12,4.36313E+12
"Korea, Rep.",25699427356,27481937750,28552434122,31128025938,34077040554,36570946133,40957249543,44676006657,50557946175,57919874111,63742405456,70464369462,75547923256,86803296623,95059883350,1.02513E+11,1.16066E+11,1.30384E+11,1.44665E+11,1.57209E+11,1.54622E+11,1.65826E+11,1.79653E+11,2.03684E+11,2.25176E+11,2.42827E+11,2.70332E+11,3.04729E+11,3.41259E+11,3.65396E+11,4.01488E+11,4.4476E+11,4.72329E+11,5.04814E+11,5.51603E+11,6.04638E+11,6.52348E+11,6.92601E+11,6.57075E+11,7.32421E+11,7.98784E+11,8.37545E+11,9.02246E+11,9.30642E+11,9.79011E+11,1.02119E+12,1.07495E+12,1.13729E+12,1.17156E+12,1.18085E+12,1.2612E+12,1.30769E+12,1.3391E+12,1.38148E+12,1.42572E+12,1.46577E+12,1.50897E+12,1.55665E+12,1.6019E+12,1.63785E+12,1.6239E+12
Russian Federation,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.19741E+12,1.16149E+12,1.10287E+12,9.4261E+11,8.60899E+11,7.52686E+11,7.21498E+11,6.94406E+11,7.04127E+11,6.66808E+11,7.09483E+11,7.80432E+11,8.20235E+11,8.58786E+11,9.21477E+11,9.87822E+11,1.05104E+12,1.13723E+12,1.23389E+12,1.29806E+12,1.19681E+12,1.25066E+12,1.30444E+12,1.35693E+12,1.38075E+12,1.39092E+12,1.36348E+12,1.36612E+12,1.39106E+12,1.43012E+12,1.46155E+12,1.42233E+12
United Kingdom,7.8154E+11,8.02463E+11,8.11313E+11,8.50859E+11,8.97943E+11,9.17179E+11,9.31607E+11,9.57566E+11,1.00967E+12,1.02909E+12,1.09411E+12,1.13246E+12,1.1814E+12,1.25847E+12,1.22721E+12,1.20912E+12,1.24431E+12,1.27489E+12,1.32849E+12,1.3783E+12,1.3503E+12,1.33966E+12,1.36639E+12,1.42407E+12,1.45639E+12,1.51679E+12,1.56457E+12,1.64895E+12,1.74347E+12,1.78841E+12,1.80153E+12,1.78166E+12,1.78881E+12,1.83334E+12,1.90386E+12,1.95205E+12,1.99946E+12,2.09762E+12,2.16377E+12,2.22847E+12,2.31031E+12,2.3582E+12,2.40826E+12,2.48123E+12,2.53968E+12,2.60554E+12,2.67287E+12,2.73353E+12,2.72698E+12,2.61116E+12,2.66681E+12,2.70568E+12,2.74545E+12,2.79734E+12,2.88102E+12,2.95657E+12,3.02349E+12,3.08803E+12,3.13901E+12,3.19149E+12,2.89563E+12
