Year,Total population,GDP current USD,GDP per capita current USD
1960,450547675,37029883875,82.18860274
1961,459642166,39232435784,85.35430099
1962,469077191,42161481859,89.88175649
1963,478825602,48421923459,101.1264294
1964,488848139,56480289941,115.5374961
1965,499123328,59554854575,119.3189163
1966,509631509,45865462034,89.99730437
1967,520400577,50134942203,96.33913646
1968,531513834,53085455871,99.87596272
1969,543084333,58447995017,107.6223184
1970,555189797,62422483055,112.4344925
1971,567868021,67350988021,118.6032415
1972,581087255,71463193830,122.9818641
1973,594770136,85515269586,143.7786876
1974,608802595,99525899116,163.4781125
1975,623102900,98472796457,158.036171
1976,637630085,1.03E+11,1.61E+02
1977,652408766,1.21E+11,1.86E+02
1978,667499815,1.37E+11,2.06E+02
1979,682995348,1.53E+11,2.24E+02
1980,698952837,1.86E+11,2.67E+02
1981,715384997,1.93E+11,2.70E+02
1982,732239498,2.01E+11,2.74E+02
1983,749428958,2.18E+11,2.91E+02
1984,766833411,2.12E+11,2.77E+02
1985,784360012,2.33E+11,2.96E+02
1986,801975250,2.49E+11,3.10E+02
1987,819682095,2.79E+11,3.40E+02
1988,837468938,2.97E+11,3.54E+02
1989,855334675,2.96E+11,3.46E+02
1990,873277799,3.21E+11,3.68E+02
1991,891273202,2.70E+11,3.03E+02
1992,909307018,2.88E+11,3.17E+02
1993,927403866,2.79E+11,3.01E+02
1994,945601828,3.27E+11,3.46E+02
1995,963922586,3.60E+11,3.74E+02
1996,982365248,3.93E+11,4.00E+02
1997,1000900028,4.16E+11,4.15E+02
1998,1019483586,4.21E+11,4.13E+02
1999,1038058154,4.59E+11,4.42E+02
2000,1056575548,4.68E+11,4.43E+02
2001,1075000094,4.85E+11,4.52E+02
2002,1093317187,5.15E+11,4.71E+02
2003,1111523146,6.08E+11,5.47E+02
2004,1129623466,7.09E+11,6.28E+02
2005,1147609924,8.20E+11,7.15E+02
2006,1165486291,9.40E+11,8.07E+02
2007,1183209471,1.22E+12,1.03E+03
2008,1200669762,1.20E+12,9.99E+02
2009,1217726217,1.34E+12,1.10E+03
2010,1234281163,1.68E+12,1.36E+03
2011,1250287939,1.82E+12,1.46E+03
2012,1265780243,1.83E+12,1.44E+03
2013,1280842119,1.86E+12,1.45E+03
2014,1295600768,2.04E+12,1.57E+03
2015,1310152392,2.10E+12,1.61E+03
2016,1324517250,2.29E+12,1.73E+03
2017,1338676779,2.65E+12,1.98E+03
2018,1352642283,2.70E+12,2.00E+03
2019,1366417756,2.87E+12,2.10E+03
2020,1380004385,2.62E+12,1.90E+03
