Year,ANDAMAN AND NICOBAR ISLANDS,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,CHANDIGARH,CHHATTISGARH,DELHI,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU AND KASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYA PRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUDUCHERRY,PUNJAB,RAJASTHAN,SIKKIM,TAMIL NADU,TELANGANA,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL
1960-1961,,2988850,,,3138538,,,867826,,3100228,,,888902,,4322273,3418160,3792437,7193114,100656,,,,,,,3152558,,6156459,,99728,9232973,,5200482
1961-1962,,3224158,,,3293411,,,928428,,3410683,,,908691,,4630426,3465848,3718414,7185324,98112,,,,,,,3505454,,6137578,,112273,9353314,,5170820
1962-1963,,3213304,,,3353463,,,953634,,3383888,,,930261,,4885335,3594201,3614269,7399350,98790,,,,,,,3399450,,6304245,,111781,9219657,,5326937
1963-1964,,3388609,,,3416677,,,987241,,3608582,,,960460,,5083688,3666088,3962899,7710144,107694,,,,,,,3159659,,6428222,,113819,8988121,,5819283
1964-1965,,3622022,,,3435641,,,1077723,,3925841,,,1028924,,5067190,3823939,4198044,7957086,113291,,,,,,,3626279,,6651313,,118247,10364470,,6120026
1965-1966,,3270417,,,3533621,,,1104420,,3644029,1446969,,872864,,4727415,3862374,3340361,7673310,122703,,,,,,2326977,3265325,,6502142,,123764,10009367,,6000909
1966-1967,,3411186,,,3053200,,,1150456,,3735460,1599829,,1020296,,5356346,4063168,3379591,8077000,153824,,,,,,2498849,3427515,,6718035,,125872,9007357,,5921822
1967-1968,,3599635,,,3350303,,,1218217,,4088838,1914275,659648,1097388,,5352159,4332844,4474987,8502034,151874,,,,,,2807872,4122429,,7033762,,125943,10138604,,6076464
1968-1969,,3406335,,,3451444,,,1291348,,3805976,1746066,710375,1118771,,5832981,4543128,4104873,9035544,171463,,,,,,2963781,3325343,,7151094,,126048,10084924,,6231960
1969-1970,,3557167,,,3546264,,,1376957,,4189047,2173160,724542,1200646,,6241873,4742261,4404700,9295635,170275,,,,,,3157162,3695934,,7470863,,131881,11087323,,6492867
1970-1971,,3985696,62829,2925821,3926428,,,1513177,205166,4829278,2294639,754639,1300528,,6535653,5049739,4649886,9588237,154164,,,,4395062,97761,3210450,5116983,,7888252,,131214,11832583,,6457031
1971-1972,,4108027,67687,3061226,4038078,,,1626992,233302,4976942,2382080,773265,1333719,,6631009,5323992,4994546,9852143,155625,,,,4004119,108788,3317997,4475968,,8286308,,143245,11165577,,6757820
1972-1973,,3786409,68835,3202700,4021571,,,1670014,235121,3971750,2332457,770594,1343359,,6224683,5453673,4786956,9342021,165143,,,,4415524,115219,3427645,4326327,,8316349,,123109,11824744,,6581969
1973-1974,,4517850,71043,3284247,3952658,,,1730948,245712,4857910,2315977,828500,1431054,,7179401,5429403,4928697,10463280,200293,,,,4704707,129762,3526384,4858299,,8680837,,158309,11282805,,6807652
1974-1975,,4636453,74223,3268696,4154886,,,1805356,283450,4186981,2328126,811903,1486861,,7150664,5486314,4961855,11448888,220828,,,,4062413,121247,3645600,4372649,,7537737,,151181,11777402,,7046726
1975-1976,,4712745,77491,3559989,4429892,,,1983276,307414,5380646,2796888,922239,1544334,,7614288,5728288,5405057,12022172,234581,,,,4797783,128808,3960462,5338442,,8912717,,159118,12818358,,7537103
1976-1977,,4287708,86913,3535335,4634166,,,2137672,316936,5729666,2978794,877550,1529275,,7281370,5659141,4985206,12670197,237129,,,,4472632,138955,4215481,5700723,,9192836,,173896,13190724,,7782535
1977-1978,,4845235,102664,3724599,4876315,,,2290610,336754,6128319,3100699,981666,1730563,,8598201,5737585,5759058,13705014,262273,,,,5276294,152545,4568703,5938984,,10083296,,183939,14327169,,8400520
1978-1979,,5296846,116619,3751908,4989574,,,2442026,328784,6531803,3409184,1008777,1882089,,8929115,5861994,5580423,14636217,254066,,,,5626779,176884,4907819,6224062,,10453706,,192785,14903383,,8250003
1979-1980,,5181751,112115,3585780,4832215,,,2550325,348924,6550399,3168386,908142,1842175,,9188345,6119021,4670201,14846956,257139,,,,4718221,190674,4933750,5329314,,10588077,,197469,12835593,,7907229
1980-1981,50069,5422447,119004,4073164,5144362,,,2795203,406587,6737615,3574004,1017971,1970670,,8881982,6324368,6234251,14744209,270517,281726,,111430,5293283,198537,5035709,5595516,,9355019,,213545,15825972,,8785443
1981-1982,52353,6300269,137068,4533885,5432214,,,3022891,376505,7406805,3707477,1081431,2017482,,9470187,6245089,6392623,15090736,286065,293741,,132497,5284888,201222,5514046,6073461,,10382273,,210371,16205328,,8548326
1982-1983,50912,6411940,141697,4743155,5482441,,,3404796,433550,7296162,3938542,1043617,2081512,,9699622,6400107,6677476,15670982,290702,298227,,150658,4968569,217298,5676280,6197762,,9821892,,232117,17471535,,8885843
1983-1984,58852,6679858,151709,4950529,6013169,,,3323685,437920,8696368,4022530,1094303,2149429,,10389708,6140646,7022330,16655010,315807,305175,,154578,5973076,219508,5778414,7610356,,10353268,,224914,18156854,,9941552
1984-1985,56659,6477522,166314,4975535,6576842,,,3462188,454894,8691645,4178730,1032815,2257492,,11164395,6520995,6682072,16869426,328820,320891,,159417,5689400,231723,6227392,7062917,,11706812,,231576,18445637,,10205756
1985-1986,64010,6887651,187630,5302272,6719216,,,4008821,435161,8452957,4928576,1170789,2309298,,10703633,6760521,7265043,18197880,347256,336152,,162935,6345131,242773,6704530,7035304,,12171041,,234362,19167743,,10632538
1986-1987,67026,6700174,200565,5152710,7251808,,,4268267,456647,8973635,4931924,1256064,2339304,,11708026,6606015,6942059,18445164,354142,341406,,180938,6433386,257519,6939618,7709905,,12066049,,247775,19998121,,11055025
1987-1988,71321,7606604,213526,5381776,6850345,,,4644741,506694,7973914,4844859,1258796,2076067,,12531134,6891666,7890732,19689291,381809,372117,,202586,6232798,259681,7300021,7175350,,12821873,,280139,20902038,,11647974
1988-1989,77728,8905808,231017,5423017,7716178,,,5042998,615423,11189249,6024206,1415628,2361199,,13612561,7583988,8469951,21745078,400245,375740,,218507,7544552,272193,7687575,10140884,,13910183,,314668,23627004,,12146191
1989-1990,78053,9614300,237740,5823161,7587813,,,5509477,642334,10991383,6104033,1581952,2413531,,14379586,8093977,8645996,25331949,405776,430620,,226938,8047928,284800,8335265,9932835,,14862837,,335542,24284730,,12577350
1990-1991,75068,10054340,281505,6071013,8307561,,,5746468,732401,11154014,6741694,1620710,2553496,,14485108,8706076,9874614,26472651,428658,476796,,251555,6680161,301625,8494160,11491009,,16100684,,360841,25728999,,13239344
1991-1992,69412,10618163,321860,6338733,7837470,,,6620154,729797,10232892,6881120,1629695,2610936,,16325532,8875355,9162254,26390541,464756,500166,,261792,7529361,282756,8878908,10610488,,16531500,,370645,25834288,,14276317
1992-1993,90156,10331558,330179,6403386,7373157,,,6851633,836825,13525519,6878480,1704252,2726960,,16703441,9515530,9834199,30381283,487177,470647,,299256,7401284,247514,9298006,12201538,,17384372,,384542,26112466,,14700572
1993-1994,100239,11507690,377781,6652975,7551239,374712,5726194,7325183,871753,13111100,7188098,1770190,2857256,5479487,17948953,10499971,10881847,33730518,497385,503663,,303820,7878261,279738,9704620,11206155,161138,18899999,,427307,26759767,2331762,15769275
1994-1995,110652,12155693,370175,6810769,8417302,411246,5734752,8206796,905659,15742888,7711303,1942551,2984420,5708824,18887973,11405459,11071586,34385357,483816,520471,,327406,8262183,281523,9947738,13252723,162772,21205579,,422394,28155668,2539215,16865238
1995-1996,108652,12910249,425447,6973000,7115870,454808,5882701,8349844,968938,16212926,7866272,2049457,3133246,5849912,19886243,11863101,11735932,38178573,499969,580157,,350916,8639773,293563,10315224,13740552,178186,21907528,,457237,29065342,2514311,18126050
1996-1997,116612,13802299,399965,7141669,8928038,518163,6139698,9499051,1133232,18684520,8793326,2165389,3283465,5502638,21712405,12338101,12523554,39684943,548124,600856,,375777,8043523,408743,11074913,15346027,189998,22805803,,507569,32291082,2672709,19385425
1997-1998,124500,13438316,411259,7258568,8504647,549787,6379638,11038539,1144363,18682834,8869742,2320394,3455720,7201614,23061779,12605189,13179018,41874654,598567,639593,,409060,9200650,536324,11374901,17212651,204061,24821053,,562492,31947558,2704879,21010528
1998-1999,114443,15157103,423479,7194821,9040739,597901,6535647,11592272,1430346,19999327,9342764,2485029,3639144,7835918,26189359,13472949,14049058,43541680,608467,708746,,389807,9483087,605372,12029544,17966247,218686,25802920,,615584,32182854,2737678,22351233
1999-2000,124708,15795963,440853,7443527,9497751,638547,6458900,12146368,1451741,20073994,10016485,2758082,3776713,7452165,27442670,14432964,15524180,47682884,688998,769186,267313,392047,10084180,619855,12665833,18011347,224789,27332635,,668185,34405152,2738554,23957377
2000-2001,124669,17109267,473160,7631921,11061549,719761,6061265,12621626,1377835,18748613,10812399,2934011,3884020,6573143,27625765,14797391,14262426,46218216,644950,819589,277374,458453,9818171,708271,13086999,17426192,239139,28849999,,710236,35108397,3079917,24797168
2001-2002,127554,17885071,548943,7828888,10427049,782915,6909463,13106921,1431220,20272259,11647533,3083579,3958650,7025944,28126685,15536783,15282730,47850911,685112,874579,294903,511095,10415852,756327,13257343,19410559,258617,28290977,,807538,35747162,3226235,26588051
2002-2003,141134,18292181,522674,8303327,11745788,881665,6792860,14111413,1518432,22039723,12361551,3233657,4160215,7222559,29635230,16673636,14485654,51150695,681285,900465,323259,562022,10341019,831279,13483284,17078732,278160,28432627,,861476,36903940,3528171,27519820
2003-2004,156048,20084244,579592,8814241,10988201,977457,8068861,14880453,1622441,25710444,13577634,3450357,4373989,7769192,30212235,17754210,16110592,55101169,755766,956425,333811,587714,11851137,868605,14325243,22512945,300258,30204488,,911960,38846906,3807253,29136945
2004-2005,161952,21545470,654377,9116898,12378612,1077389,8500983,16490867,1795837,27244936,14748262,3777756,4610103,9093365,33275834,19426749,16639211,59902729,825652,1022828,348839,615847,13398660,749934,15037433,21962315,323630,33792143,16179004,986802,40792149,4308099,31068664
2005-2006,170599,22745670,673407,9391460,12070278,1195168,8639969,18189551,1945684,31199655,16080596,4102155,4823639,8685877,36699349,21415074,17477574,68581516,880133,1102800,374669,679986,13993427,949897,15774683,23437683,356082,38668332,18777618,1051846,43173105,4918906,33024935
2006-2007,201273,25134714,709809,9815592,14159188,1371805,10283476,20447845,2136509,33838348,17908947,4424915,5105332,8831433,40515214,23106922,19070798,78027925,895404,1185902,391451,733101,15735561,985555,17475967,26196264,377054,44723302,20847806,1142420,46602333,5511630,35617079
2007-2008,221965,28269221,794995,10235189,14892227,1473013,11114822,22752829,2229543,37839565,19310769,4699975,5420625,10798597,45599348,25169224,19972026,87109545,944633,1223210,434443,792703,17084959,1063472,18989416,27389880,398920,47524829,22969322,1217811,49588986,6475072,38388120
2008-2009,255782,28991806,860364,10844835,17162547,1583826,11843920,25586977,2404691,39457038,20797610,4929460,5760074,10364384,48843354,26716759,22497098,88477824,1013778,1380408,499654,843062,18368863,1161037,20042127,29693060,451158,50038362,26099481,1346341,53357181,7164315,39935464
2009-2010,288727,30954906,931762,11844033,17983494,1665946,12172882,27690590,2631814,45032392,23396123,5196745,6039053,11391656,48855492,29132452,24629657,97026465,1083248,1469129,557070,890803,18516784,1370322,21322368,31423737,783786,55276371,26170286,1484160,56676098,8390344,43036618
2010-2011,313876,33020906,972017,12426841,20729519,1665558,13346493,29987358,3150031,49960561,24982346,5631952,6384237,13048895,53879069,30996909,25923017,108081397,1051353,1614305,659833,975457,19683968,1461982,22699548,36143585,862857,62815125,30797403,1596203,61201870,9271709,45646166
2011-2012,340362,33999552,1022946,12935412,22849744,1692998,14227342,31465002,3800855,53280946,27115248,6053625,6531913,13738347,55495220,32802112,28237104,112659470,1150107,1802803,640414,1055427,20422595,1515956,23922695,39533093,974218,67447835,32513934,1741905,64513155,10195963,47320465
2012-2013,355752,34133522,1039877,13251760,23693255,1830519,14876030,33419330,3245285,59665883,28975622,6451852,6731556,14952629,59319203,34861581,30685334,118971084,1151507,1832289,683644,1116302,21630107,1550737,25181259,40980249,997033,70934313,33420472,1885721,67355219,10952849,49290117
2013-2014,381115,36023923,1122644,13872476,24691474,1981345,16349433,35652751,2797110,64148881,31493120,6939816,7053583,15060933,64678695,36470677,32259760,126755127,1251946,1839655,783146,1192318,23312187,1723851,26751521,43429222,1058986,75041616,34959266,2062306,70746910,11777751,50395157
2014-2015,415107,39706383,1308160,14642539,25573881,2035309,16535421,38763874,3604168,70562884,33335925,7455298,6715376,17056800,67128350,38213426,33924690,134534146,1361517,1789285,996002,1240641,23593074,1605468,27848460,46540773,1143670,79191510,37289674,2440660,72968630,12570166,51570160
2015-2016,448321,44699686,1288906,16762867,26919960,2205816,16887888,43172959,4192944,77477522,37270025,8056292,8060231,15823112,74995161,41115015,37071567,145251339,1463516,1833024,1094790,1259970,25319167,1702466,29489486,50192151,1248421,86243698,41689237,2374531,79204876,13614351,54698805
2016-2017,509062,47756555,1339643,17963190,28926487,2384240,18754052,46159238,4637068,84393034,41205461,8811212,8263573,17636312,85139399,44361530,41946525,159612075,1520095,1929486,1202937,1348789,29334825,1828379,31578299,52965038,1341584,92208431,45573109,2720360,88845301,15030294,58491083
